nombre_area,estado,poblacion,lat,lon,tipo_zona,consumo_anual_m3
Aguascalientes,Aguascalientes,948990,21.8823,-102.291,Servicios,10
Asientos,Aguascalientes,51536,22.238,-102.088,Agrícola,36075200
Calvillo,Aguascalientes,58250,21.845,-102.718,Agrícola,43687500
Cosío,Aguascalientes,17000,22.366,-102.302,Agrícola,11900000
Jesús María,Aguascalientes,129929,21.961,-102.343,Mixta,116936100
Pabellón de Arteaga,Aguascalientes,47646,22.147,-102.277,Mixta,38116800
Rincón de Romos,Aguascalientes,57132,22.233,-102.32,Mixta,42849000
San José de Gracia,Aguascalientes,9552,22.148,-102.414,Agrícola,6686400
Tepezalá,Aguascalientes,22485,22.219,-102.167,Agrícola,15739500
El Llano,Aguascalientes,20853,21.916,-101.966,Agrícola,14597100
San Francisco de los Romo,Aguascalientes,61997,22.066,-102.26,Mixta,49597600
Ensenada,Baja California,443807,31.866,-116.596,Servicios,532568400
Mexicali,Baja California,1049792,32.624,-115.454,Industrial,1364729600
Tecate,Baja California,108440,32.569,-116.627,Industrial,124706000
Tijuana,Baja California,1922523,32.502,-117.003,Industrial,2307027600
Playas de Rosarito,Baja California,126890,32.36,-117.05,Servicios,152268000
San Quintín,Baja California,117568,30.48,-115.95,Agrícola,94054400
San Felipe,Baja California,20000,31.025,-114.841,Servicios,22000000
Comondú,Baja California Sur,73021,25.059,-111.121,Agrícola,58416800
Mulegé,Baja California Sur,64013,26.89,-111.98,Servicios,57611700
La Paz,Baja California Sur,292241,24.142,-110.31,Servicios,350689200
Los Cabos,Baja California Sur,351111,22.89,-109.916,Servicios,456444300
Loreto,Baja California Sur,18052,26.012,-111.343,Servicios,19857200
Calkiní,Campeche,59288,20.373,-90.046,Mixta,44466000
Campeche,Campeche,294077,19.83,-90.53,Servicios,323484700
Carmen,Campeche,248845,18.636,-91.831,Industrial,298614000
Champotón,Campeche,78170,19.356,-90.72,Agrícola,62536000
Hecelchakán,Campeche,31840,20.174,-90.091,Agrícola,23880000
Hopelchén,Campeche,42140,19.76,-89.845,Agrícola,31605000
Palizada,Campeche,8683,18.255,-92.09,Agrícola,6078100
Tenabo,Campeche,11452,19.95,-90.22,Agrícola,8589000
Escárcega,Campeche,59923,18.61,-90.73,Mixta,47938400
Calakmul,Campeche,31714,18.52,-89.92,Agrícola,22200000
Candelaria,Campeche,46798,17.84,-91.04,Agrícola,32758600
Dzitbalché,Campeche,14392,19.83,-90.53,Agrícola,10074400
Seybaplaya,Campeche,15167,19.64,-90.67,Mixta,11375250
Abasolo,Coahuila de Zaragoza,1022,27.17,-101.42,Agrícola,715400
Acuña,Coahuila de Zaragoza,163058,29.32,-100.93,Industrial,195669600
Allende,Coahuila de Zaragoza,23062,28.34,-100.87,Mixta,17296500
Arteaga,Coahuila de Zaragoza,23307,25.43,-100.84,Agrícola,17480250
Candela,Coahuila de Zaragoza,1652,26.85,-100.67,Agrícola,1156400
Castaños,Coahuila de Zaragoza,29128,26.78,-101.42,Mixta,21846000
Cuatro Ciénegas,Coahuila de Zaragoza,12615,26.98,-102.06,Servicios,11353500
Escobedo,Coahuila de Zaragoza,3047,27.27,-101.27,Agrícola,2132900
Francisco I. Madero,Coahuila de Zaragoza,59300,25.77,-103.27,Agrícola,44475000
Frontera,Coahuila de Zaragoza,82409,26.92,-101.45,Industrial,82409000
General Cepeda,Coahuila de Zaragoza,11898,25.37,-101.45,Agrícola,8328600
Guerrero,Coahuila de Zaragoza,1643,28.3,-100.28,Agrícola,1150100
Hidalgo,Coahuila de Zaragoza,1733,28.87,-100.12,Agrícola,1213100
Jiménez,Coahuila de Zaragoza,9502,29.07,-100.75,Agrícola,6651400
Juárez,Coahuila de Zaragoza,1584,27.6,-100.7,Agrícola,1108800
Lamadrid,Coahuila de Zaragoza,1730,27.05,-101.78,Agrícola,1211000
Matamoros,Coahuila de Zaragoza,118337,25.52,-103.23,Mixta,106503300
Monclova,Coahuila de Zaragoza,237969,26.9,-101.42,Industrial,285562800
Morelos,Coahuila de Zaragoza,8128,28.43,-101,Agrícola,5689600
Múzquiz,Coahuila de Zaragoza,71627,27.87,-101.52,Mixta,57301600
Nadadores,Coahuila de Zaragoza,6539,27.03,-101.58,Agrícola,4577300
Nava,Coahuila de Zaragoza,33129,28.42,-100.77,Industrial,36441900
Ocampo,Coahuila de Zaragoza,9642,27.3,-102.38,Agrícola,6749400
Parras,Coahuila de Zaragoza,44472,25.43,-102.18,Servicios,40024800
Piedras Negras,Coahuila de Zaragoza,176327,28.7,-100.52,Industrial,211592400
Progreso,Coahuila de Zaragoza,3284,27.43,-101.2,Agrícola,2298800
Ramos Arizpe,Coahuila de Zaragoza,122243,25.54,-100.94,Industrial,146691600
Sabinas,Coahuila de Zaragoza,64694,27.85,-101.12,Mixta,51755200
Sacramento,Coahuila de Zaragoza,2471,27,-101.72,Agrícola,1729700
Saltillo,Coahuila de Zaragoza,879958,25.42,-101,Industrial,1055949600
San Buenaventura,Coahuila de Zaragoza,24759,27.05,-101.54,Mixta,18569250
San Juan de Sabinas,Coahuila de Zaragoza,42261,27.93,-101.27,Mixta,33808800
San Pedro,Coahuila de Zaragoza,101041,25.75,-102.98,Agrícola,80832800
Sierra Mojada,Coahuila de Zaragoza,6744,27.28,-103.7,Agrícola,4720800
Torreón,Coahuila de Zaragoza,720848,25.54,-103.44,Industrial,865017600
Viesca,Coahuila de Zaragoza,20305,25.33,-102.8,Agrícola,14213500
Villa Unión,Coahuila de Zaragoza,6188,28.22,-100.72,Agrícola,4331600
Zaragoza,Coahuila de Zaragoza,13135,28.48,-100.92,Mixta,9851250
Armería,Colima,27626,18.93,-103.96,Agrícola,20719500
Colima,Colima,157048,19.24,-103.72,Servicios,172752800
Comala,Colima,21661,19.32,-103.75,Servicios,21661000
Coquimatlán,Colima,20837,19.22,-103.8,Agrícola,15627750
Cuauhtémoc,Colima,31267,19.32,-103.6,Mixta,25013600
Ixtlahuacán,Colima,5623,18.99,-103.73,Agrícola,3936100
Manzanillo,Colima,191031,19.1,-104.3,Servicios,229237200
Minatitlán,Colima,10231,19.38,-104.05,Agrícola,7161700
Tecomán,Colima,116305,18.91,-103.87,Agrícola,93044000
Villa de Álvarez,Colima,149762,19.26,-103.74,Mixta,134785800
Acacoyagua,Chiapas,16814,15.35,-92.68,Agrícola,11769800
Acala,Chiapas,21382,16.55,-92.8,Agrícola,15000000
Acapetahua,Chiapas,27588,15.27,-92.9,Agrícola,19311600
Altamirano,Chiapas,32791,16.73,-92.03,Agrícola,22953700
Amatán,Chiapas,23675,17.37,-92.83,Agrícola,16572500
Amatenango de la Frontera,Chiapas,32126,15.52,-92.08,Agrícola,22488200
Amatenango del Valle,Chiapas,11216,16.6,-92.4,Agrícola,7851200
Ángel Albino Corzo,Chiapas,32742,15.87,-92.73,Agrícola,22919400
Arriaga,Chiapas,41315,16.23,-93.9,Mixta,33052000
Bejucal de Ocampo,Chiapas,7813,15.48,-92.17,Agrícola,5469100
Bella Vista,Chiapas,20173,15.57,-92.23,Agrícola,14121100
Berriozábal,Chiapas,53820,16.8,-93.27,Mixta,40365000
Bochil,Chiapas,39121,16.98,-92.9,Agrícola,27384700
El Bosque,Chiapas,25877,17.07,-92.72,Agrícola,18113900
Cacahoatán,Chiapas,51276,15.03,-92.17,Agrícola,35893200
Catazajá,Chiapas,18018,17.72,-92.02,Agrícola,12612600
Cintalapa,Chiapas,84293,16.67,-93.72,Mixta,67434400
Coapilla,Chiapas,10160,17.13,-93.1,Agrícola,7112000
Comitán de Domínguez,Chiapas,166178,16.25,-92.13,Servicios,166178000
La Concordia,Chiapas,49184,15.83,-92.68,Agrícola,34428800
Copainalá,Chiapas,23296,17.08,-93.2,Agrícola,16307200
Chalchihuitán,Chiapas,17300,16.97,-92.63,Agrícola,12110000
Chamula,Chiapas,97511,16.78,-92.68,Agrícola,68257700
Chanal,Chiapas,12888,16.65,-92.27,Agrícola,9021600
Chapultenango,Chiapas,8455,17.33,-93.13,Agrícola,5918500
Chenalhó,Chiapas,48202,16.88,-92.63,Agrícola,33741400
Chiapa de Corzo,Chiapas,109315,16.7,-93.02,Servicios,98383500
Chiapilla,Chiapas,6281,16.57,-92.92,Agrícola,4396700
Chicoasén,Chiapas,5503,17,-93.1,Agrícola,3852100
Chicomuselo,Chiapas,37170,15.77,-92.27,Agrícola,26019000
Chilón,Chiapas,138010,17.13,-92.28,Agrícola,96607000
Escuintla,Chiapas,30605,15.33,-92.78,Agrícola,21423500
Francisco León,Chiapas,7188,17.27,-93.22,Agrícola,5031600
Frontera Comalapa,Chiapas,79532,15.67,-92.13,Mixta,63625600
Frontera Hidalgo,Chiapas,15034,14.82,-92.17,Agrícola,10523800
La Grandeza,Chiapas,7421,15.53,-92.22,Agrícola,5194700
Huehuetán,Chiapas,38260,15.03,-92.38,Agrícola,26782000
Huixtán,Chiapas,24423,16.72,-92.45,Agrícola,17096100
Huitiupán,Chiapas,22582,17.2,-92.68,Agrícola,15807400
Huixtla,Chiapas,54854,15.13,-92.47,Mixta,43883200
La Independencia,Chiapas,44127,16.15,-91.78,Agrícola,30888900
Ixhuatán,Chiapas,9812,17.3,-93,Agrícola,6868400
Ixtacomitán,Chiapas,11213,17.42,-93.1,Agrícola,7849100
Ixtapa,Chiapas,29304,16.8,-92.9,Agrícola,20512800
Ixtapangajoya,Chiapas,6040,17.47,-93,Agrícola,4228000
Jiquipilas,Chiapas,42022,16.67,-93.63,Agrícola,29415400
Jitotol,Chiapas,20171,17.07,-92.83,Agrícola,14119700
Juárez,Chiapas,21389,17.65,-93.18,Mixta,17111200
Larráinzar,Chiapas,24107,16.9,-92.77,Agrícola,16874900
La Libertad,Chiapas,5059,17.6,-91.7,Agrícola,3541300
Mapastepec,Chiapas,45031,15.43,-92.9,Agrícola,31521700
Las Margaritas,Chiapas,141976,16.32,-91.98,Agrícola,99383200
Mazapa de Madero,Chiapas,9097,15.4,-92.18,Agrícola,6367900
Mazatán,Chiapas,28267,14.87,-92.45,Agrícola,19786900
Metapa,Chiapas,5607,14.83,-92.2,Agrícola,3924900
Mitontic,Chiapas,13063,16.85,-92.63,Agrícola,9144100
Motozintla,Chiapas,78317,15.37,-92.35,Mixta,62653600
Nicolás Ruíz,Chiapas,4758,16.45,-92.65,Agrícola,3330600
